Turn,Speaker,Cue,Capsules,Capsules OIE
110,Mincke,I am glad to have learned something new. I did not know anybody who like ski,,"[{'chat': 10, 'turn': 109, 'author': 'Leolani', 'utterance': 'I am glad to have learned something new. I did not know anybody who like ski', 'utterance_type': 'STATEMENT', 'position': '0-76', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something new', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:21:18.756239', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 109, 'author': 'Leolani', 'utterance': 'I am glad to have learned something new. I did not know anybody who like ski', 'utterance_type': 'STATEMENT', 'position': '0-76', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'glad', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:21:18.756239', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 10, 'turn': 109, 'author': 'Leolani', 'utterance': 'I am glad to have learned something new. I did not know anybody who like ski', 'utterance_type': 'STATEMENT', 'position': '0-76', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:21:18.756239', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
111,Leolani2,What Mincke like? ,,
112,Mincke,I do frequently do not know things,,
113,Leolani2,What like Mincke? ,,
114,Mincke,Caya told me you do not like cats and that you like apple pie and you told me you do not like cats and that you like ski,,
115,Leolani2,What not like Mincke? ,,
116,Mincke,Caya told me you do not like cats and that you like apple pie and you told me you do not like cats and that you like ski,,
117,Leolani2,Mincke love snow,,
118,Mincke,In this economy?,,
119,Leolani2,yes,,
120,Mincke,As the prophecy foretold,,
121,Leolani2,bye,,
